id_promocion;nombre;tipo;descuento_pct;fecha_inicio;fecha_fin
PROMO_NONE;Sin Promocion;Ninguno;0.0;2024-01-01;2025-12-31
PRM001;Campana Descuento Especial 1;Descuento Directo;0.1;2025-08-17;2025-09-05
PRM002;Campana Descuento Especial 2;Volumen;0.07;2025-10-02;2025-10-17
PRM003;Campana Descuento Especial 3;Descuento Directo;0.1;2025-06-14;2025-07-04
PRM004;Campana Cyber FISI 4;Descuento Directo;0.07;2024-09-05;2024-09-11
PRM005;Campana Descuento Especial 5;Estacional;0.11;2024-09-16;2024-09-30
PRM006;Campana Cyber FISI 6;Volumen;0.23;2025-09-30;2025-10-08
PRM007;Campana Cyber FISI 7;Descuento Directo;0.05;2024-08-12;2024-09-04
PRM008;Campana Descuento Especial 8;Descuento Directo;0.22;2025-09-24;2025-10-08
PRM009;Campana Aniversario 9;Volumen;0.28;2024-12-09;2025-01-02
PRM010;Campana Descuento Especial 10;Descuento Directo;0.09;2024-10-07;2024-10-29
PRM011;Campana Aniversario 11;Volumen;0.14;2024-05-03;2024-05-12
PRM012;Campana Cyber FISI 12;Estacional;0.1;2024-04-29;2024-05-23
PRM013;Campana Cyber FISI 13;Descuento Directo;0.25;2024-06-25;2024-07-05
PRM014;Campana Aniversario 14;Volumen;0.22;2024-10-27;2024-11-01
PRM015;Campana Aniversario 15;Estacional;0.06;2025-02-15;2025-03-06
PRM016;Campana Descuento Especial 16;Estacional;0.13;2024-06-17;2024-06-25
PRM017;Campana Aniversario 17;Descuento Directo;0.07;2024-03-15;2024-04-07
PRM018;Campana Cyber FISI 18;Estacional;0.25;2024-09-20;2024-10-15
PRM019;Campana Cyber FISI 19;Descuento Directo;0.18;2024-02-15;2024-02-20
PRM020;Campana Cyber FISI 20;Estacional;0.24;2024-01-13;2024-01-23
PRM021;Campana Cyber FISI 21;Volumen;0.12;2024-05-18;2024-06-01
PRM022;Campana Cyber FISI 22;Descuento Directo;0.1;2025-02-01;2025-02-09
PRM023;Campana Descuento Especial 23;Descuento Directo;0.19;2024-08-19;2024-08-27
PRM024;Campana Cyber FISI 24;Volumen;0.17;2024-05-22;2024-06-16
PRM025;Campana Aniversario 25;Volumen;0.15;2024-07-02;2024-07-13
PRM026;Campana Cyber FISI 26;Volumen;0.21;2024-04-07;2024-04-21
PRM027;Campana Cyber FISI 27;Volumen;0.07;2024-05-27;2024-06-04
PRM028;Campana Aniversario 28;Volumen;0.15;2025-01-31;2025-02-16
PRM029;Campana Cyber FISI 29;Estacional;0.17;2025-04-18;2025-04-26
PRM030;Campana Cyber FISI 30;Estacional;0.21;2024-01-11;2024-02-01
PRM031;Campana Cyber FISI 31;Volumen;0.12;2024-12-14;2024-12-19
PRM032;Campana Cyber FISI 32;Descuento Directo;0.24;2024-04-12;2024-04-17
PRM033;Campana Aniversario 33;Estacional;0.07;2025-09-25;2025-10-12
PRM034;Campana Descuento Especial 34;Descuento Directo;0.25;2025-01-03;2025-01-17
PRM035;Campana Descuento Especial 35;Estacional;0.15;2024-05-21;2024-06-14
PRM036;Campana Descuento Especial 36;Descuento Directo;0.2;2024-09-17;2024-09-22
PRM037;Campana Cyber FISI 37;Descuento Directo;0.12;2025-05-18;2025-06-02
PRM038;Campana Cyber FISI 38;Estacional;0.06;2024-12-10;2024-12-27
PRM039;Campana Aniversario 39;Volumen;0.06;2024-05-18;2024-05-25
PRM040;Campana Cyber FISI 40;Estacional;0.09;2024-04-30;2024-05-20
