id_cliente;Recency;Frequency;Monetary;R_Score;F_Score;M_Score;RFM_Score;Cluster;Segmento;edad;ingresos_mensuales_aprox;segmento_programa;distrito
CLI00002;354;5;744.7;2;4;3;243;2;Perdidos;61;9293.05;Regular;Miraflores
CLI00003;467;1;28.8;1;1;1;111;2;Perdidos;37;2565.61;Basico;Miraflores
CLI00004;11;14;2930.78;5;5;5;555;1;Campeones;28;11692.72;Platino;San Borja
CLI00007;16;4;926.5;5;4;4;544;0;Leales;37;11919.26;Premium;Comas
CLI00009;165;5;761.02;3;4;3;343;0;Leales;19;1885.42;Basico;San Miguel
CLI00010;412;1;42.64;1;1;1;111;2;Perdidos;65;2668.5;Basico;San Miguel
CLI00012;243;2;244.93;2;2;2;222;3;En Riesgo;36;6051.25;Premium;Los Olivos
CLI00013;10;8;1355.29;5;5;5;555;0;Leales;68;8264.38;Regular;Los Olivos
CLI00014;9;2;717.54;5;2;3;523;3;En Riesgo;57;6134.36;Regular;Miraflores
CLI00015;196;1;320.62;3;1;2;312;3;En Riesgo;55;3268.78;Premium;Comas
CLI00016;185;2;399.26;3;2;2;322;3;En Riesgo;41;6569.24;Regular;Santiago de Surco
CLI00017;25;6;1101.56;5;5;4;554;0;Leales;26;6765.25;Premium;Miraflores
CLI00018;13;8;1891.62;5;5;5;555;0;Leales;40;3656.74;Premium;San Juan de Lurigancho
CLI00019;87;4;387.6;4;4;2;442;3;En Riesgo;34;7580.88;Platino;Los Olivos
CLI00020;1;6;1310.95;5;5;4;554;0;Leales;72;4710.72;Premium;San Miguel
CLI00021;259;1;414.48;2;1;2;212;3;En Riesgo;18;1255.14;Basico;San Juan de Lurigancho
CLI00022;185;2;463.49;3;2;2;322;3;En Riesgo;28;2245.61;Basico;San Juan de Lurigancho
CLI00024;282;1;499.93;2;1;3;213;3;En Riesgo;44;6748.6;Platino;Magdalena
CLI00025;573;1;53.22;1;1;1;111;2;Perdidos;39;3044.88;Platino;Ate
CLI00026;37;2;775.26;4;2;3;423;3;En Riesgo;72;11364.18;Premium;Magdalena
CLI00027;167;2;534.12;3;2;3;323;3;En Riesgo;40;1841.42;Basico;Los Olivos
CLI00028;110;6;1035.96;4;5;4;454;0;Leales;38;8125.12;Platino;San Miguel
CLI00029;154;2;832.3;3;2;4;324;3;En Riesgo;44;1804.12;Basico;Ate
CLI00031;394;1;137.62;1;1;1;111;2;Perdidos;18;4384.49;Premium;San Borja
CLI00032;6;3;686.4;5;3;3;533;3;En Riesgo;58;9970.79;Regular;Miraflores
CLI00033;30;7;2146.31;4;5;5;455;0;Leales;26;10679.15;Regular;San Miguel
CLI00034;407;1;106.15;1;1;1;111;2;Perdidos;54;2291.53;Basico;San Juan de Lurigancho
CLI00035;32;15;3879.33;4;5;5;455;1;Campeones;58;9134.7;Regular;San Miguel
CLI00036;352;4;762.86;2;4;3;243;2;Perdidos;51;1194.4;Basico;Comas
CLI00038;12;2;645.61;5;2;3;523;3;En Riesgo;59;10811.7;Premium;Santiago de Surco
CLI00040;366;1;114.35;2;1;1;211;2;Perdidos;61;3767.41;Premium;Magdalena
CLI00043;43;3;864.84;4;3;4;434;3;En Riesgo;25;10273.3;Premium;Magdalena
CLI00044;19;5;758.47;5;4;3;543;0;Leales;66;2967.77;Platino;Ate
CLI00045;709;1;23.64;1;1;1;111;2;Perdidos;46;2504.05;Basico;Santiago de Surco
CLI00047;352;2;662.69;2;2;3;223;2;Perdidos;52;7043.3;Regular;San Miguel
CLI00049;195;1;140.86;3;1;1;311;3;En Riesgo;27;1286.16;Basico;Miraflores
CLI00051;16;7;1249.16;5;5;4;554;0;Leales;62;8725.48;Platino;Comas
CLI00053;26;2;364.27;4;2;2;422;3;En Riesgo;42;3878.52;Regular;Comas
CLI00054;335;3;385.05;2;3;2;232;2;Perdidos;45;3336.83;Premium;Santiago de Surco
CLI00055;45;4;1262.92;4;4;4;444;0;Leales;64;7507.91;Premium;Magdalena
CLI00058;230;3;434.0;2;3;2;232;3;En Riesgo;49;6665.91;Premium;Los Olivos
CLI00061;3;3;1066.17;5;3;4;534;3;En Riesgo;46;6791.84;Platino;San Juan de Lurigancho
CLI00062;10;3;472.33;5;3;2;532;3;En Riesgo;32;10802.68;Regular;Santiago de Surco
CLI00064;183;1;225.68;3;1;1;311;3;En Riesgo;61;6004.24;Platino;San Miguel
CLI00065;6;6;2246.7;5;5;5;555;0;Leales;57;10914.41;Premium;Santiago de Surco
CLI00066;22;7;1714.33;5;5;5;555;0;Leales;39;2390.68;Basico;San Borja
CLI00068;2;9;2575.65;5;5;5;555;1;Campeones;46;4945.87;Platino;Miraflores
CLI00069;21;4;868.09;5;4;4;544;3;En Riesgo;56;5848.11;Premium;Los Olivos
CLI00070;201;1;331.44;3;1;2;312;3;En Riesgo;52;1616.29;Basico;San Miguel
CLI00071;34;4;635.71;4;4;3;443;3;En Riesgo;54;7977.72;Platino;Ate
CLI00072;184;5;1462.55;3;4;5;345;0;Leales;32;7665.57;Platino;San Borja
CLI00073;226;2;483.21;2;2;3;223;3;En Riesgo;38;1227.56;Basico;Magdalena
CLI00074;197;6;1187.82;3;5;4;354;0;Leales;60;5558.81;Platino;Ate
CLI00075;44;1;132.96;4;1;1;411;3;En Riesgo;33;8259.91;Regular;San Borja
CLI00077;369;3;593.07;2;3;3;233;2;Perdidos;64;3851.32;Regular;Miraflores
CLI00078;370;2;112.25;2;2;1;221;2;Perdidos;44;9154.79;Platino;Miraflores
CLI00079;553;1;92.75;1;1;1;111;2;Perdidos;69;1459.14;Basico;Ate
CLI00080;183;3;936.17;3;3;4;334;3;En Riesgo;48;1622.19;Basico;San Borja
CLI00081;46;11;3376.32;4;5;5;455;1;Campeones;26;2928.57;Platino;San Borja
CLI00082;396;1;231.46;1;1;1;111;2;Perdidos;46;3089.7;Platino;Comas
CLI00084;245;3;647.11;2;3;3;233;3;En Riesgo;22;5025.39;Regular;Ate
CLI00085;110;6;1193.89;4;5;4;454;0;Leales;71;10425.48;Platino;Comas
CLI00086;42;3;915.77;4;3;4;434;3;En Riesgo;19;9995.22;Regular;Magdalena
CLI00087;415;4;983.75;1;4;4;144;2;Perdidos;34;3364.28;Regular;Miraflores
CLI00089;163;6;1233.75;3;5;4;354;0;Leales;27;1857.67;Basico;Ate
CLI00090;167;5;1187.55;3;4;4;344;0;Leales;26;1318.73;Basico;Ate
CLI00091;13;3;1397.54;5;3;5;535;0;Leales;66;11965.31;Platino;Magdalena
CLI00092;42;7;1571.37;4;5;5;455;0;Leales;43;3731.04;Regular;Magdalena
CLI00094;653;1;124.64;1;1;1;111;2;Perdidos;66;5365.87;Premium;San Juan de Lurigancho
CLI00096;16;11;2895.17;5;5;5;555;1;Campeones;26;5355.43;Premium;San Juan de Lurigancho
CLI00097;211;2;212.41;2;2;1;221;3;En Riesgo;54;8131.45;Premium;Los Olivos
CLI00098;154;10;2502.86;3;5;5;355;1;Campeones;33;2187.09;Basico;San Miguel
CLI00099;136;4;813.77;3;4;4;344;3;En Riesgo;36;8772.69;Premium;Magdalena
CLI00100;140;1;360.12;3;1;2;312;3;En Riesgo;64;5017.89;Platino;Ate
CLI00102;570;2;497.29;1;2;3;123;2;Perdidos;20;5270.59;Regular;Miraflores
CLI00103;268;3;727.54;2;3;3;233;3;En Riesgo;26;2164.74;Basico;Magdalena
CLI00109;11;7;2301.56;5;5;5;555;0;Leales;22;2468.12;Basico;Comas
CLI00110;17;6;1524.38;5;5;5;555;0;Leales;57;6042.92;Regular;Miraflores
CLI00111;251;9;2194.92;2;5;5;255;1;Campeones;57;10577.13;Platino;Santiago de Surco
CLI00112;10;6;1054.0;5;5;4;554;0;Leales;28;10546.11;Platino;Miraflores
CLI00113;25;1;182.41;5;1;1;511;3;En Riesgo;70;9850.39;Regular;Comas
CLI00114;179;6;1076.57;3;5;4;354;0;Leales;53;2729.17;Basico;San Miguel
CLI00115;544;1;266.96;1;1;2;112;2;Perdidos;36;3083.8;Regular;Ate
CLI00118;377;3;565.64;2;3;3;233;2;Perdidos;43;1411.17;Basico;Ate
CLI00119;55;1;562.37;4;1;3;413;3;En Riesgo;45;11026.6;Platino;Comas
CLI00120;226;3;870.89;2;3;4;234;3;En Riesgo;32;4849.63;Regular;San Miguel
CLI00122;199;4;1221.33;3;4;4;344;0;Leales;43;5386.75;Platino;Santiago de Surco
CLI00123;3;5;1141.07;5;4;4;544;0;Leales;41;11728.1;Platino;San Borja
CLI00124;28;4;1038.82;4;4;4;444;0;Leales;57;4290.76;Regular;Comas
CLI00125;341;3;441.33;2;3;2;232;2;Perdidos;18;3739.0;Platino;Ate
CLI00127;599;1;131.7;1;1;1;111;2;Perdidos;45;5516.36;Premium;Los Olivos
CLI00128;192;2;475.18;3;2;3;323;3;En Riesgo;46;10076.62;Regular;Miraflores
CLI00129;556;1;243.07;1;1;1;111;2;Perdidos;39;3795.25;Regular;Santiago de Surco
CLI00130;172;3;640.98;3;3;3;333;3;En Riesgo;57;3054.34;Premium;Magdalena
CLI00132;634;1;216.59;1;1;1;111;2;Perdidos;50;4702.74;Regular;Santiago de Surco
CLI00133;705;1;14.74;1;1;1;111;2;Perdidos;64;2364.43;Basico;Los Olivos
CLI00134;83;1;63.41;4;1;1;411;3;En Riesgo;44;4025.17;Premium;San Borja
CLI00135;165;3;1201.26;3;3;4;334;3;En Riesgo;35;5057.52;Regular;San Juan de Lurigancho
CLI00137;16;3;596.97;5;3;3;533;3;En Riesgo;64;7647.95;Regular;San Miguel
CLI00139;7;3;593.19;5;3;3;533;3;En Riesgo;48;5110.2;Regular;San Miguel
CLI00140;521;1;536.1;1;1;3;113;2;Perdidos;55;6190.66;Platino;San Miguel
CLI00146;36;3;902.34;4;3;4;434;3;En Riesgo;70;4695.57;Platino;San Borja
CLI00147;316;1;46.22;2;1;1;211;2;Perdidos;58;3929.15;Regular;Los Olivos
CLI00149;217;3;231.19;2;3;1;231;3;En Riesgo;70;9352.29;Platino;Ate
CLI00150;192;1;110.6;3;1;1;311;3;En Riesgo;37;10611.6;Premium;San Borja
CLI00152;181;6;2195.7;3;5;5;355;0;Leales;47;4532.05;Regular;Comas
CLI00153;127;8;2317.86;4;5;5;455;1;Campeones;26;2195.73;Basico;San Miguel
CLI00154;203;3;965.77;3;3;4;334;3;En Riesgo;33;6555.99;Platino;Miraflores
CLI00155;188;2;379.73;3;2;2;322;3;En Riesgo;36;3358.81;Platino;Comas
CLI00156;11;3;490.39;5;3;3;533;3;En Riesgo;27;9866.92;Platino;Magdalena
CLI00157;184;7;1459.1;3;5;5;355;0;Leales;53;8211.22;Regular;Los Olivos
CLI00158;163;2;354.26;3;2;2;322;3;En Riesgo;66;7574.69;Premium;Comas
CLI00159;192;1;268.69;3;1;2;312;3;En Riesgo;62;7009.99;Platino;Magdalena
CLI00160;24;4;833.61;5;4;4;544;3;En Riesgo;37;9370.87;Regular;San Borja
CLI00161;291;3;812.32;2;3;4;234;3;En Riesgo;35;2688.23;Basico;San Miguel
CLI00162;349;1;104.1;2;1;1;211;2;Perdidos;53;5254.88;Premium;Ate
CLI00163;222;2;448.72;2;2;2;222;3;En Riesgo;69;1948.67;Basico;San Juan de Lurigancho
CLI00164;488;5;1247.52;1;4;4;144;2;Perdidos;60;2262.94;Basico;Los Olivos
CLI00166;1;9;1720.75;5;5;5;555;0;Leales;64;10182.78;Regular;Ate
CLI00168;100;5;803.75;4;4;4;444;0;Leales;32;7263.24;Regular;Comas
CLI00169;68;3;505.74;4;3;3;433;3;En Riesgo;55;5369.43;Premium;Ate
CLI00170;601;1;322.06;1;1;2;112;2;Perdidos;42;7883.97;Premium;Magdalena
CLI00171;102;1;180.32;4;1;1;411;3;En Riesgo;27;9663.69;Premium;San Borja
CLI00172;36;3;891.36;4;3;4;434;3;En Riesgo;39;4687.64;Premium;San Miguel
CLI00173;530;1;18.41;1;1;1;111;2;Perdidos;26;1884.79;Basico;San Miguel
CLI00174;155;1;84.6;3;1;1;311;3;En Riesgo;24;4387.22;Premium;Magdalena
CLI00175;411;2;506.86;1;2;3;123;2;Perdidos;25;8498.82;Regular;Magdalena
CLI00176;24;2;631.78;5;2;3;523;3;En Riesgo;40;3278.8;Premium;San Miguel
CLI00177;228;2;382.67;2;2;2;222;3;En Riesgo;26;6959.5;Regular;Comas
CLI00178;389;2;746.33;1;2;3;123;2;Perdidos;36;3070.22;Regular;Santiago de Surco
CLI00179;16;1;202.6;5;1;1;511;3;En Riesgo;59;11104.8;Regular;San Juan de Lurigancho
CLI00180;137;1;407.89;3;1;2;312;3;En Riesgo;53;11114.07;Regular;San Juan de Lurigancho
CLI00181;495;2;266.22;1;2;2;122;2;Perdidos;45;11534.45;Platino;Comas
CLI00182;248;2;226.05;2;2;1;221;3;En Riesgo;38;1071.43;Basico;San Borja
CLI00183;45;5;1636.94;4;4;5;445;0;Leales;37;5950.35;Regular;Santiago de Surco
CLI00185;285;5;859.59;2;4;4;244;0;Leales;38;9657.37;Platino;Ate
CLI00186;290;1;200.73;2;1;1;211;2;Perdidos;33;2148.09;Basico;San Borja
CLI00187;558;1;361.85;1;1;2;112;2;Perdidos;64;5398.76;Platino;San Miguel
CLI00189;530;1;253.08;1;1;2;112;2;Perdidos;61;4225.24;Premium;Los Olivos
CLI00190;4;1;117.72;5;1;1;511;3;En Riesgo;56;7258.29;Platino;Santiago de Surco
CLI00191;47;6;1638.22;4;5;5;455;0;Leales;41;7203.41;Regular;Ate
CLI00193;56;4;730.93;4;4;3;443;3;En Riesgo;44;10978.58;Platino;San Juan de Lurigancho
CLI00194;348;6;925.6;2;5;4;254;0;Leales;53;1290.99;Basico;San Borja
CLI00196;357;2;401.21;2;2;2;222;2;Perdidos;54;4135.85;Platino;San Juan de Lurigancho
CLI00198;399;1;238.04;1;1;1;111;2;Perdidos;64;6560.08;Regular;Santiago de Surco
CLI00199;488;1;280.66;1;1;2;112;2;Perdidos;44;2923.48;Regular;Los Olivos
CLI00200;13;3;528.09;5;3;3;533;3;En Riesgo;62;9870.76;Premium;Comas
CLI00201;65;1;282.13;4;1;2;412;3;En Riesgo;31;8758.63;Premium;Comas
CLI00203;196;4;1072.02;3;4;4;344;0;Leales;53;6703.92;Premium;San Juan de Lurigancho
CLI00204;39;1;304.07;4;1;2;412;3;En Riesgo;58;4289.4;Premium;San Borja
CLI00205;25;10;1589.49;5;5;5;555;0;Leales;60;5147.02;Premium;Magdalena
CLI00206;269;3;1211.53;2;3;4;234;3;En Riesgo;58;1654.64;Basico;Miraflores
CLI00207;21;1;152.97;5;1;1;511;3;En Riesgo;73;11141.94;Platino;Santiago de Surco
CLI00208;420;1;101.66;1;1;1;111;2;Perdidos;51;6557.59;Platino;Ate
CLI00209;180;5;1338.69;3;4;5;345;0;Leales;44;1844.96;Basico;Comas
CLI00210;347;2;669.35;2;2;3;223;2;Perdidos;62;2438.65;Basico;Magdalena
CLI00211;157;4;1003.64;3;4;4;344;0;Leales;72;2287.53;Basico;San Juan de Lurigancho
CLI00212;46;7;1779.35;4;5;5;455;0;Leales;44;3301.81;Platino;San Borja
CLI00213;30;3;399.65;4;3;2;432;3;En Riesgo;58;10884.11;Regular;Comas
CLI00214;49;3;886.55;4;3;4;434;3;En Riesgo;61;4935.18;Premium;Miraflores
CLI00215;126;10;2644.37;4;5;5;455;1;Campeones;55;1539.65;Basico;Miraflores
CLI00216;29;1;15.45;4;1;1;411;3;En Riesgo;34;11205.79;Platino;San Juan de Lurigancho
CLI00218;5;9;2232.58;5;5;5;555;1;Campeones;32;4151.46;Regular;San Juan de Lurigancho
CLI00219;612;1;206.71;1;1;1;111;2;Perdidos;19;9094.89;Regular;Comas
CLI00220;15;2;196.05;5;2;1;521;3;En Riesgo;23;11034.47;Regular;Miraflores
CLI00222;183;1;235.45;3;1;1;311;3;En Riesgo;68;1998.01;Basico;San Borja
CLI00224;515;2;495.97;1;2;3;123;2;Perdidos;31;9925.63;Regular;Magdalena
CLI00225;369;4;645.85;2;4;3;243;2;Perdidos;36;1842.69;Basico;Miraflores
CLI00226;42;4;1142.35;4;4;4;444;0;Leales;70;11544.75;Premium;San Miguel
CLI00227;342;1;568.55;2;1;3;213;2;Perdidos;52;1977.02;Basico;Comas
CLI00228;177;2;293.9;3;2;2;322;3;En Riesgo;57;11517.64;Regular;San Borja
CLI00229;48;1;237.05;4;1;1;411;3;En Riesgo;72;10445.19;Platino;San Juan de Lurigancho
CLI00230;14;7;1880.4;5;5;5;555;0;Leales;24;1998.45;Basico;Ate
CLI00231;18;10;2713.7;5;5;5;555;1;Campeones;65;7350.68;Premium;San Borja
