id_venta;fecha;id_cliente;id_producto;id_tienda;id_promocion;cantidad;precio_unitario;descuento
VTA000001;2024-01-01;CLI00086;PROD0111;TIE011;PROMO_NONE;1;41.24;0.0
VTA000001;2024-01-01;CLI00086;PROD0004;TIE006;PROMO_NONE;1;112.45;0.0
VTA000001;2024-01-01;CLI00086;PROD0112;TIE016;PROMO_NONE;1;138.18;0.0
VTA000002;2024-01-01;CLI03017;PROD0072;TIE012;PROMO_NONE;2;16.25;0.0
VTA000003;2024-01-01;CLI03160;PROD0221;TIE003;PROMO_NONE;1;155.68;0.0
VTA000003;2024-01-01;CLI03160;PROD0057;TIE013;PROMO_NONE;2;138.47;0.0
VTA000004;2024-01-01;CLI01478;PROD0074;TIE001;PROMO_NONE;2;23.97;0.0
VTA000004;2024-01-01;CLI01478;PROD0452;TIE002;PROMO_NONE;1;75.28;0.0
VTA000004;2024-01-01;CLI01478;PROD0299;TIE011;PROMO_NONE;1;128.17;0.0
VTA000005;2024-01-01;CLI00649;PROD0048;TIE019;PROMO_NONE;2;137.09;0.0
VTA000005;2024-01-01;CLI00649;PROD0049;TIE016;PROMO_NONE;2;34.76;0.0
VTA000005;2024-01-01;CLI00649;PROD0032;TIE003;PROMO_NONE;1;26.22;0.0
VTA000006;2024-01-01;CLI02557;PROD0027;TIE017;PROMO_NONE;1;23.84;0.0
VTA000006;2024-01-01;CLI02557;PROD0551;TIE019;PROMO_NONE;1;145.78;0.0
VTA000007;2024-01-01;CLI00960;PROD0111;TIE003;PROMO_NONE;1;38.9;0.0
VTA000007;2024-01-01;CLI00960;PROD0069;TIE011;PROMO_NONE;1;65.89;0.0
VTA000007;2024-01-01;CLI00960;PROD0030;TIE020;PROMO_NONE;1;133.28;0.0
VTA000008;2024-01-01;CLI03555;PROD0184;TIE004;PROMO_NONE;2;60.02;0.0
VTA000008;2024-01-01;CLI03555;PROD0085;TIE005;PROMO_NONE;1;153.52;0.0
VTA000009;2024-01-01;CLI02618;PROD0028;TIE010;PROMO_NONE;1;103.81;0.0
VTA000009;2024-01-01;CLI02618;PROD0095;TIE017;PROMO_NONE;1;117.05;0.0
VTA000010;2024-01-01;CLI04304;PROD0065;TIE003;PROMO_NONE;2;22.26;0.0
VTA000011;2024-01-01;CLI02783;PROD0064;TIE006;PROMO_NONE;1;81.74;0.0
VTA000011;01/01/2024;CLI02783;PROD0027;TIE003;PROMO_NONE;2;23.57;0.0
VTA000012;2024-01-01;CLI02617;PROD0194;TIE012;PROMO_NONE;2;194.28;0.0
VTA000012;2024-01-01;CLI02617;PROD0111;TIE019;PROMO_NONE;1;38.86;0.0
VTA000012;2024-01-01;CLI02617;PROD0087;TIE010;PROMO_NONE;2;80.02;0.0
VTA000013;2024-01-01;CLI03906;PROD0101;TIE017;PROMO_NONE;2;19.08;0.0
VTA000013;2024-01-01;CLI03906;PROD0145;TIE002;PROMO_NONE;1;19.59;0.0
VTA000014;2024-01-01;CLI00296;PROD0115;TIE015;PROMO_NONE;1;155.01;0.0
VTA000015;2024-01-01;CLI03698;PROD0059;TIE020;PROMO_NONE;1;157.62;0.0
VTA000015;2024-01-01;CLI03698;PROD0042;TIE004;PROMO_NONE;1;21.38;0.0
VTA000016;2024-01-01;CLI02436;PROD0055;TIE016;PROMO_NONE;1;15.88;0.0
VTA000016;2024-01-01;CLI02436;PROD0060;TIE003;PROMO_NONE;1;21.87;0.0
VTA000016;2024-01-01;CLI02436;PROD0476;TIE015;PROMO_NONE;1;52.82;0.0
VTA000017;2024-01-01;CLI04145;PROD0055;TIE014;PROMO_NONE;2;16.38;0.0
VTA000017;2024-01-01;CLI04145;PROD0013;TIE004;PROMO_NONE;2;28.95;0.0
VTA000018;2024-01-01;CLI00568;PROD0003;TIE010;PROMO_NONE;2;100.87;0.0
VTA000018;2024-01-01;CLI00568;PROD0044;TIE004;PROMO_NONE;2;206.96;0.0
VTA000019;2024-01-01;CLI01720;PROD0354;TIE002;PROMO_NONE;1;54.9;0.0
VTA000019;2024-01-01;CLI01720;PROD0314;TIE007;PROMO_NONE;1;5.25;0.0
VTA000020;2024-01-01;CLI00230;PROD0200;TIE013;PROMO_NONE;1;69.72;0.0
